tarih,islem,strateji,sembol,fiyat,miktar,tutar,ucret,kar_zarar,kar_zarar_yuzde,nakit,portfoy_degeri,sebep,kaldirac
2026-09-05 04:23:44,AL,SMA trend 100,BTC/USDT,79582.0,0.00149068,118.75,0.1187,,,881.25,999.88,sinyal,1.0
2026-09-05 04:23:44,AL,MA kesisme 50/200,ETH/USDT,2452.49,0.04871727,119.6,0.1196,,,761.65,999.74,sinyal,1.0
2026-09-05 04:23:44,AL,SMA trend 200,ZEC/USDT,1024.79,0.11755996,120.59,0.1206,,,641.06,999.59,sinyal,1.0
2026-09-05 04:23:45,AL,SMA trend 200,BNB/USDT,723.51,0.16817876,121.8,0.1218,,,519.26,999.39,sinyal,1.0
2026-09-05 04:23:45,AL,Donchian 55/20,PROM/USDT,5.126,24.03433507,123.32,0.1233,,,395.93,999.05,sinyal,1.0
2026-09-05 04:23:45,AL,Dusuk oynaklik,NEAR/USDT,2.225,56.29363369,125.38,0.1254,,,270.55,998.76,sinyal,1.0
2026-09-05 04:23:46,AL,Donchian 20/10,DASH/USDT,66.41,1.93321289,128.51,0.1285,,,142.04,998.35,sinyal,1.0
2026-09-05 04:23:46,AL,Fair Value Gap,ZKC/USDT,0.0501,2690.69664154,134.94,0.1349,,,7.1,998.89,sinyal,1.0
2026-09-12 14:43:43,SAT,SMA trend 100,BTC/USDT,77366.52,0.00149068,115.21,0.1153,-3.54,-2.98,122.32,1012.53,sinyal,1.0
2026-09-12 14:43:44,AL,Donchian 20/10,XRP/USDT,1.3682,84.84390128,116.2,0.1162,,,6.12,1012.34,sinyal,1.0
2026-09-12 14:43:46,SAT,SMA trend 200,BNB/USDT,736.67,0.16817876,123.77,0.1239,1.97,1.62,129.88,1012.62,sinyal,1.0
2026-09-12 14:43:47,AL,Dusuk oynaklik,TRX/USDT,0.3406,361.90994651,123.39,0.1234,,,6.49,1012.49,sinyal,1.0
2026-09-12 14:43:57,SAT,Donchian 55/20,PROM/USDT,5.77,24.03433507,138.54,0.1387,15.22,12.34,145.03,1013.37,sinyal,1.0
2026-09-17 18:27:46,SAT,MA kesisme 50/200,ETH/USDT,2462.85,0.04871727,119.86,0.12,0.27,0.22,264.9,1061.92,sinyal,1.0
2026-09-17 18:27:47,AL,MACD,SOL/USDT,101.52,7.88615332,125.83,0.8014,,,139.07,1061.91,sinyal,6.369
2026-09-17 18:27:47,SAT,Donchian 20/10,XRP/USDT,1.3009,84.84390128,110.26,0.1104,-5.94,-5.11,249.33,1061.11,sinyal,1.0
2026-09-17 18:27:47,AL,Momentum 90,UNI/USDT,7.659,77.23932919,118.43,0.5922,,,130.9,1061.11,sinyal,5.0
2026-09-17 18:27:48,AL,Donchian 20/10,DOGE/USDT,0.08177,10046.95738429,124.36,0.8224,,,6.55,1059.8,sinyal,6.613
2026-09-17 18:27:52,SAT,Fair Value Gap,ZKC/USDT,0.0377,2690.69664154,101.34,0.1014,-33.6,-24.9,107.88,1058.93,sinyal,1.0
2026-09-20 04:24:07,SAT,MACD,SOL/USDT,108.89,7.88615332,183.15,0.8587,57.32,45.56,291.03,1255.97,sinyal,6.369
2026-09-20 04:24:08,AL,SMA trend 100,SUI/USDT,0.8264,835.55593889,138.24,0.6912,,,152.79,1255.8,sinyal,5.0
2026-09-20 04:24:08,AL,SMA trend 200,ENA/USDT,0.1971,3678.48097054,145.15,0.7258,,,7.64,1255.38,sinyal,5.0
2026-09-20 04:24:08,SAT,Donchian 20/10,DOGE/USDT,0.08579,10046.95738429,163.92,0.8619,39.57,31.82,171.56,1259.94,sinyal,6.613
2026-09-20 04:24:09,AL,Momentum 90,BNB/USDT,750.47,1.85867721,162.98,1.3963,,,8.58,1259.94,sinyal,8.567
2026-09-20 04:24:14,SAT,Donchian 20/10,DASH/USDT,57.12,1.93321289,110.31,0.1104,-18.2,-14.16,118.89,1256.3,sinyal,1.0
2026-09-21 14:25:49,AL,MACD,BTC/USDT,85466.34,0.01029287,112.95,0.8806,,,5.94,1682.28,sinyal,7.796
