tarih,coin,secilen_strateji,test_getirisi_yuzde,en_iyi_5
2026-09-05 04:23:43,BTC/USDT,SMA trend 100,19.47,SMA trend 100:+19.5% | SMA trend 200:+18.1% | Momentum 90:+16.4% | MA kesisme 50/200:+15.9% | MA kesisme 20/100:+14.8%
2026-09-05 04:23:43,ETH/USDT,MA kesisme 50/200,23.66,MA kesisme 50/200:+23.7% | Momentum 90:+18.3% | MA kesisme 20/100:+17.6% | SMA trend 100:+16.8% | SMA trend 200:+16.8%
2026-09-05 04:23:43,ZEC/USDT,SMA trend 200,87.75,SMA trend 200:+87.7% | Destek/Direnc kirilmasi:+84.0% | MA kesisme 50/200:+79.2% | Momentum 180:+73.8% | Momentum 90:+64.0%
2026-09-05 04:23:43,SOL/USDT,Momentum 180,33.82,Momentum 180:+33.8% | MA kesisme 50/200:+28.1% | Donchian 55/20:+27.1% | MA kesisme 20/100:+26.6% | ATR kirilma:+24.1%
2026-09-05 04:23:43,XRP/USDT,Donchian 20/10,37.58,Donchian 20/10:+37.6% | Donchian 55/20:+37.6% | SMA trend 200:+37.5% | Momentum 90:+33.2% | MA kesisme 20/100:+33.0%
2026-09-05 04:23:43,BNB/USDT,SMA trend 200,15.77,SMA trend 200:+15.8% | Donchian 55/20:+14.5% | Donchian 20/10:+12.7% | ATR kirilma:+11.7% | Momentum 90:+11.3%
2026-09-05 04:23:43,ENSO/USDT,Order Block,1.75,Order Block:+1.7% | Bollinger 20/2:-1.3% | Fair Value Gap:-1.7% | SFP (likidite avi):-3.1% | MA kesisme 50/200:-5.0%
2026-09-05 04:23:43,PROM/USDT,Donchian 55/20,144.01,Donchian 55/20:+144.0% | SMA trend 200:+126.5% | Dusuk oynaklik:+120.4% | SMA trend 100:+116.3% | Momentum 90:+89.8%
2026-09-05 04:23:43,NEAR/USDT,Dusuk oynaklik,38.67,Dusuk oynaklik:+38.7% | Momentum 90:+14.9% | ATR kirilma:+13.1% | MA kesisme 50/200:+12.4% | RSI 30/60:+9.3%
2026-09-05 04:23:43,DOGE/USDT,Donchian 20/10,27.49,Donchian 20/10:+27.5% | MA kesisme 20/100:+22.2% | ATR kirilma:+22.0% | MA kesisme 50/200:+16.9% | Donchian 55/20:+15.5%
2026-09-05 04:23:43,DASH/USDT,Donchian 20/10,98.02,Donchian 20/10:+98.0% | SMA trend 200:+85.2% | SMA trend 100:+84.6% | Destek/Direnc kirilmasi:+84.2% | Donchian 55/20:+79.7%
2026-09-05 04:23:43,ZKC/USDT,Fair Value Gap,62.78,Fair Value Gap:+62.8% | ATR kirilma:+55.6% | MACD:+40.0% | Destek/Direnc kirilmasi:+39.1% | Donchian 55/20:+35.4%
2026-09-05 04:23:43,UNI/USDT,Momentum 180,65.35,Momentum 180:+65.3% | MA kesisme 20/100:+62.0% | Momentum 90:+61.2% | Donchian 55/20:+59.7% | MA kesisme 50/200:+58.7%
2026-09-05 04:23:43,SUI/USDT,ATR kirilma,16.49,ATR kirilma:+16.5% | SMA trend 100:+11.7% | Donchian 55/20:+11.7% | Bollinger 20/2:+11.1% | Donchian 20/10:+8.9%
2026-09-05 04:23:43,ENA/USDT,Donchian 20/10,88.34,Donchian 20/10:+88.3% | Destek/Direnc kirilmasi:+80.8% | SMA trend 200:+66.7% | ATR kirilma:+57.1% | Momentum 180:+56.3%
2026-09-05 04:23:43,ADA/USDT,Donchian 55/20,21.92,Donchian 55/20:+21.9% | ATR kirilma:+21.3% | SMA trend 100:+20.1% | Momentum 90:+18.9% | Donchian 20/10:+17.6%
2026-09-05 04:23:43,SNDKB/USDT,Dusuk oynaklik,40.51,Dusuk oynaklik:+40.5% | Donchian 55/20:+36.5% | RSI 30/60:+20.6% | Momentum 180:+12.4% | MA kesisme 50/200:+11.5%
2026-09-05 04:23:43,TRUMP/USDT,MACD,60.6,MACD:+60.6% | SMA trend 200:+56.8% | MA kesisme 20/100:+52.2% | SMA trend 50:+48.8% | ATR kirilma:+43.1%
2026-09-05 04:23:43,PEPE/USDT,Donchian 55/20,35.08,Donchian 55/20:+35.1% | Fair Value Gap:+33.3% | ATR kirilma:+30.9% | SMA trend 50:+28.7% | Destek/Direnc kirilmasi:+28.7%
2026-09-05 04:23:43,SAHARA/USDT,Dusuk oynaklik,18.54,Dusuk oynaklik:+18.5% | Bollinger 20/2:+12.8% | Donchian 20/10:+7.4% | MA kesisme 20/100:+6.8% | MA kesisme 50/200:+5.6%
2026-09-05 04:23:43,LINK/USDT,Dusuk oynaklik,38.97,Dusuk oynaklik:+39.0% | SMA trend 200:+32.8% | MA kesisme 50/200:+31.7% | Momentum 90:+29.7% | SMA trend 100:+28.5%
2026-09-05 04:23:43,PUMP/USDT,MA kesisme 50/200,81.5,MA kesisme 50/200:+81.5% | Momentum 180:+73.3% | Donchian 20/10:+68.7% | SMA trend 200:+52.0% | ATR kirilma:+51.1%
2026-09-05 04:23:43,TRX/USDT,Destek/Direnc kirilmasi,3.9,Destek/Direnc kirilmasi:+3.9% | Donchian 20/10:+3.0% | Donchian 55/20:+2.3% | MA kesisme 20/100:+1.8% | Dusuk oynaklik:+1.7%
2026-09-05 04:23:43,ARB/USDT,Momentum 90,61.32,Momentum 90:+61.3% | Donchian 55/20:+55.5% | MA kesisme 20/100:+55.2% | SMA trend 100:+55.2% | SMA trend 200:+42.2%
2026-09-05 04:23:43,PAXG/USDT,MA kesisme 50/200,6.95,MA kesisme 50/200:+6.9% | Momentum 180:+6.0% | MA kesisme 20/100:+4.2% | Destek/Direnc kirilmasi:+3.5% | Dusuk oynaklik:+2.4%
2026-09-05 04:23:43,U/USDT,Donchian 55/20,0.0,Donchian 55/20:+0.0% | Donchian 20/10:+0.0% | RSI 20/50:+0.0% | SFP (likidite avi):+0.0% | Order Block:+0.0%
2026-09-05 04:23:43,XAUT/USDT,MA kesisme 50/200,6.73,MA kesisme 50/200:+6.7% | Momentum 180:+6.5% | MA kesisme 20/100:+4.6% | Destek/Direnc kirilmasi:+3.3% | Donchian 55/20:+2.8%
2026-09-05 04:23:43,ZEN/USDT,Destek/Direnc kirilmasi,67.66,Destek/Direnc kirilmasi:+67.7% | Momentum 90:+60.6% | SMA trend 100:+60.5% | Donchian 55/20:+53.9% | Dusuk oynaklik:+53.1%
2026-09-05 04:23:43,XPL/USDT,Dusuk oynaklik,31.11,Dusuk oynaklik:+31.1% | Bollinger 20/2:+20.1% | MA kesisme 20/100:+19.6% | Destek/Direnc kirilmasi:+17.5% | RSI 30/60:+16.0%
2026-09-05 04:23:43,TAO/USDT,ATR kirilma,16.95,ATR kirilma:+16.9% | MA kesisme 50/200:+10.7% | Donchian 20/10:+10.4% | Momentum 90:+9.2% | SMA trend 200:+7.3%
2026-09-05 04:23:43,ASTER/USDT,Bollinger 20/2,8.84,Bollinger 20/2:+8.8% | MA kesisme 50/200:+7.7% | Dusuk oynaklik:+6.0% | Momentum 90:+1.8% | Donchian 55/20:+1.7%
2026-09-05 04:23:43,LTC/USDT,MA kesisme 20/100,20.71,MA kesisme 20/100:+20.7% | Momentum 90:+18.5% | SMA trend 100:+15.1% | MA kesisme 50/200:+13.4% | SMA trend 200:+9.4%
2026-09-05 04:23:43,AVAX/USDT,Dusuk oynaklik,9.0,Dusuk oynaklik:+9.0% | RSI 30/60:+8.5% | Bollinger 20/2:+6.9% | Momentum 180:+4.1% | SFP (likidite avi):+2.6%
2026-09-05 04:23:43,AAVE/USDT,SMA trend 100,40.18,SMA trend 100:+40.2% | Destek/Direnc kirilmasi:+37.6% | MA kesisme 20/100:+36.8% | Donchian 55/20:+32.2% | Momentum 90:+30.6%
2026-09-05 04:23:43,WLD/USDT,Dusuk oynaklik,25.44,Dusuk oynaklik:+25.4% | RSI 30/60:+21.7% | SMA trend 100:+16.9% | Momentum 180:+10.9% | Bollinger 20/2:+8.8%
2026-09-05 04:23:43,CRCLB/USDT,Dusuk oynaklik,49.93,Dusuk oynaklik:+49.9% | SMA trend 200:+38.9% | MACD:+37.3% | Momentum 180:+36.7% | Momentum 90:+26.7%
2026-09-05 04:23:43,HEMI/USDT,MA kesisme 20/100,205.69,MA kesisme 20/100:+205.7% | Momentum 90:+164.9% | SMA trend 100:+136.4% | SMA trend 200:+130.5% | Dusuk oynaklik:+89.7%
2026-09-05 04:23:43,ONDO/USDT,Momentum 90,7.0,Momentum 90:+7.0% | Dusuk oynaklik:+6.4% | MA kesisme 50/200:+5.0% | Bollinger 20/2:+4.2% | RSI 30/60:+3.6%
2026-09-05 04:23:43,PENGU/USDT,Momentum 90,37.9,Momentum 90:+37.9% | Donchian 20/10:+36.2% | MA kesisme 50/200:+35.1% | SMA trend 200:+33.2% | SMA trend 100:+32.3%
2026-09-12 14:43:42,BTC/USDT,Momentum 90,16.84,Momentum 90:+16.8% | MA kesisme 50/200:+16.7% | MA kesisme 20/100:+15.6% | ATR kirilma:+14.9% | SMA trend 100:+14.3%
2026-09-12 14:43:42,ETH/USDT,MA kesisme 50/200,27.69,MA kesisme 50/200:+27.7% | Momentum 90:+21.8% | Destek/Direnc kirilmasi:+17.8% | SMA trend 200:+17.0% | MA kesisme 20/100:+16.5%
2026-09-12 14:43:42,ZEC/USDT,MA kesisme 50/200,117.6,MA kesisme 50/200:+117.6% | Momentum 180:+112.1% | Destek/Direnc kirilmasi:+101.1% | SMA trend 200:+99.7% | Momentum 90:+94.5%
2026-09-12 14:43:42,SOL/USDT,MA kesisme 20/100,28.9,MA kesisme 20/100:+28.9% | Donchian 55/20:+26.1% | Donchian 20/10:+25.2% | MA kesisme 50/200:+24.2% | Momentum 90:+22.4%
2026-09-12 14:43:42,XRP/USDT,Donchian 20/10,35.06,Donchian 20/10:+35.1% | Donchian 55/20:+34.3% | MA kesisme 20/100:+32.2% | SMA trend 200:+31.2% | ATR kirilma:+30.9%
2026-09-12 14:43:42,THE/USDT,Bollinger 20/2,21.57,Bollinger 20/2:+21.6% | MA kesisme 20/100:+8.7% | Fair Value Gap:+6.5% | Dusuk oynaklik:+5.4% | Donchian 55/20:+5.3%
